prior_type,model_type,condition_cb,cmpr,mean,median,sd,mad,q5,q95
orig,intrvl,CIU,pu_r03dx,0.122673720576425,0.12264,0.1444466529552553,0.1424659992,-0.12124554999999998,0.35531854999999996
new,intrvl,Dementia,pu_A10BG,0.1621689508545,0.1622105,0.11953077962491307,0.11860614675,-0.03497303,0.35808745000000003
orig,intrvl,Dementia,pu_A10BG,0.163162905965775,0.16113850000000002,0.11383857113462616,0.11358472881,-0.024018999999999995,0.35362925
new,intrvl,Dementia,pu_A10BG,-0.0115857886576,-0.01077015,0.08318475086398902,0.08535024266999999,-0.14890275,0.12325439999999997
orig,intrvl,Dementia,pu_A10BG,-0.0104976063427,-0.011803399999999999,0.08081965287811585,0.08169355802999999,-0.14412519999999998,0.12129259999999997
new,intrvl,Dementia,pu_A10BG,-0.060479543138025,-0.061041200000000004,0.09006585270323934,0.08832287049599999,-0.20339345000000003,0.08873031499999999
orig,intrvl,Dementia,pu_A10BG,-0.06134593817335,-0.0624062,0.09089855953259277,0.0914264400714,-0.21088874999999999,0.08615579
new,intrvl,Dementia,pu_A10BG,-0.1407043700381,-0.1393355,0.11272219470401415,0.11264409323999999,-0.32956755,0.04266527499999998
orig,intrvl,Dementia,pu_A10BG,-0.141637628225275,-0.1411155,0.11114658655441152,0.10680880202999998,-0.32765545,0.04415611499999998
new,intrvl,Dementia,pu_A10BG,-0.058475797434825,-0.0578741,0.1056082978821294,0.10716484842,-0.23265814999999998,0.11886005
orig,intrvl,Dementia,pu_A10BG,-0.0596392970259175,-0.0583736,0.10353286863177648,0.10362603047999998,-0.2310846,0.10763634999999999
new,intrvl,Dementia,pu_N06DA,-0.01101751994541575,-0.0119462,0.10767117650919902,0.10765166013,-0.190207,0.16595369999999993
orig,intrvl,Dementia,pu_N06DA,-0.009658280282,-0.006766035,0.10346102425075905,0.10294178834100001,-0.18111929999999998,0.15522119999999995
new,intrvl,Dementia,pu_N06DA,0.0575116026646,0.05829155,0.09538827988269653,0.09555053067,-0.09684,0.21544759999999993
orig,intrvl,Dementia,pu_N06DA,0.0553706735839,0.0547507,0.096045422660834,0.09459180738,-0.10231545,0.21361394999999997
new,intrvl,Dementia,pu_N06DA,-0.01152550206825,-0.011576550000000001,0.06619380740433004,0.06635858145,-0.12197214999999999,0.096404895
orig,intrvl,Dementia,pu_N06DA,-0.011548314020423,-0.0121789,0.06671248619653465,0.06801664716,-0.12010839999999999,0.09597441999999992
new,intrvl,Dementia,pu_N06DA,-0.36059407375525,-0.355467,0.5559034930421288,0.5638416756,-1.2786194999999998,0.5548030499999999
orig,intrvl,Dementia,pu_N06DA,-0.28306898911755,-0.2858045,0.49769595424484186,0.49699895112,-1.105954,0.5298200999999988
new,intrvl,Dementia,pu_N06DA,-0.02300403976475,-0.0231116,0.08827864019956408,0.08882879292,-0.1702399,0.12306669999999999
orig,intrvl,Dementia,pu_N06DA,-0.027932113882675,-0.02756595,0.08805048505355068,0.08832011286,-0.17309504999999997,0.11693269999999992
